Name,URL,Image_URL
120 Wellness Villa,https://hdmall.co.th/120-wellness-villa,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2319/original/120-wellness-villa.jpg
44 Clinic,https://hdmall.co.th/44-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1353/original/44_Clinic.jpg
AIRI Clinic,https://hdmall.co.th/airi-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2454/original/airi-clinic.jpg
ALYN Clinic,https://hdmall.co.th/alyn-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2493/original/ALYN_Clinic.jpg
AMC Arix Medical Center,https://hdmall.co.th/amc-arix-medical-center,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2426/original/AMC_Arix_Medical_Center.jpg
APC Clinic,https://hdmall.co.th/apc-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2305/original/APC_Clinic.jpg
APEX Medical Center,https://hdmall.co.th/apex-medical-center,https://static.hdmall.co.th/184x184/webp/system/brands/logo/923/original/APEX_Medical_Center.jpg
APS Clinic,https://hdmall.co.th/aps-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2400/original/APS_Clinic.jpeg
AQUA BKK Aesthetic & Wellness Clinic,https://hdmall.co.th/aqua-bkk-aesthetic-wellness-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2236/original/AQUA_BKK_Aesthetic___Wellness_Clinic.jpg
AT Friend Clinic,https://hdmall.co.th/at-friend-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2308/original/at-friend-clinic.jpg
ATGenes,https://hdmall.co.th/atgenes,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1266/original/ATGenes.jpg
Abhai Wellness,https://hdmall.co.th/abhai-wellness,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1058/original/abhai-wellness.png
About Skin Clinic,https://hdmall.co.th/about-skin-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1994/original/About_Skin_Clinic.jpg
About Tooth Dental Clinic,https://hdmall.co.th/about-tooth-dental-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/791/original/about-tooth-dental-clinic.jpg
Absolute Health Clinic,https://hdmall.co.th/absolute-health-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2192/original/Absolute_Health_Clinic.jpg
Acqua Wellness Clinic,https://hdmall.co.th/acqua-wellness-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2502/original/Acqua_Wellness_Clinic.jpg
Adaline Aesthetic Clinic,https://hdmall.co.th/adaline-aesthetic-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2334/original/Adaline_Aesthetic_Clinic.jpeg
Adam Wellness Clinic,https://hdmall.co.th/adam-wellness-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2351/original/Adam_Wellness_Clinic.jpg
Add Friend Dental Clinic,https://hdmall.co.th/add-friend-dental-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1920/original/add-friend-dental-clinic.jpg
Addlife Total Check-Up Center,https://hdmall.co.th/addlife-total-check-up-center,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1864/original/addlife-total-check-up-center.jpg
